 Dose [Gy]   Relative dose [%] Ratio of Total Structure Volume [%]
             24.9             44.6237                       100
               25             44.8029                       100
             25.1             44.9821                       100
             25.2             45.1613                       100
             25.3             45.3405                       100
             25.4             45.5197                       100
             25.5             45.6989                       100
             25.6             45.8781                       100
             25.7             46.0573                       100
             25.8             46.2366                       100
             25.9             46.4158                       100
               26              46.595                       100
             26.1             46.7742                       100
             26.2             46.9534                       100
             26.3             47.1326                       100
             26.4             47.3118                       100
             26.5              47.491                       100
             26.6             47.6703                       100
             26.7             47.8495                       100
             26.8             48.0287                       100
             26.9             48.2079                       100
               27             48.3871                       100
             27.1             48.5663                       100
             27.2             48.7455                       100
             27.3             48.9247                       100
             27.4             49.1039                       100
             27.5             49.2832                       100
             27.6             49.4624                       100
             27.7             49.6416                       100
             27.8             49.8208                       100
             27.9                  50                       100
               28             50.1792                       100
             28.1             50.3584                       100
             28.2             50.5376                       100
             28.3             50.7168                       100
             28.4             50.8961                       100
             28.5             51.0753                       100
             28.6             51.2545                       100
             28.7             51.4337                       100
             28.8             51.6129                       100
             28.9             51.7921                       100
               29             51.9713                       100
             29.1             52.1505                       100
             29.2             52.3297                       100
             29.3              52.509                       100
             29.4             52.6882                       100
             29.5             52.8674                       100
             29.6             53.0466                       100
             29.7             53.2258                       100
             29.8              53.405                       100
             29.9             53.5842                       100
               30             53.7634                       100
             30.1             53.9427                       100
             30.2             54.1219                       100
             30.3             54.3011                       100
             30.4             54.4803                       100
             30.5             54.6595                       100
             30.6             54.8387                       100
             30.7             55.0179                       100
             30.8             55.1971                       100
             30.9             55.3763                       100
               31             55.5556                       100
             31.1             55.7348                       100
             31.2              55.914                       100
             31.3             56.0932                       100
             31.4             56.2724                       100
             31.5             56.4516                       100
             31.6             56.6308                       100
             31.7               56.81                       100
             31.8             56.9892                       100
             31.9             57.1685                       100
               32             57.3477                       100
             32.1             57.5269                       100
             32.2             57.7061                       100
             32.3             57.8853                       100
             32.4             58.0645                       100
             32.5             58.2437                       100
             32.6             58.4229                       100
             32.7             58.6022                       100
             32.8             58.7814                       100
             32.9             58.9606                       100
               33             59.1398                       100
             33.1              59.319                       100
             33.2             59.4982                       100
             33.3             59.6774                       100
             33.4             59.8566                       100
             33.5             60.0358                       100
             33.6             60.2151                       100
             33.7             60.3943                       100
             33.8             60.5735                       100
             33.9             60.7527                       100
               34             60.9319                       100
             34.1             61.1111                       100
             34.2             61.2903                       100
             34.3             61.4695                       100
             34.4             61.6487                       100
             34.5              61.828                       100
             34.6             62.0072                       100
             34.7             62.1864                       100
             34.8             62.3656                       100
             34.9             62.5448                       100
               35              62.724                       100
             35.1             62.9032                       100
             35.2             63.0824                       100
             35.3             63.2616                       100
             35.4             63.4409                       100
             35.5             63.6201                       100
             35.6             63.7993                       100
             35.7             63.9785                       100
             35.8             64.1577                       100
             35.9             64.3369                       100
               36             64.5161                       100
             36.1             64.6953                       100
             36.2             64.8746                       100
             36.3             65.0538                       100
             36.4              65.233                       100
             36.5             65.4122                       100
             36.6             65.5914                       100
             36.7             65.7706                       100
             36.8             65.9498                       100
             36.9              66.129                       100
               37             66.3082                       100
             37.1             66.4875                       100
             37.2             66.6667                       100
             37.3             66.8459                       100
             37.4             67.0251                       100
             37.5             67.2043                       100
             37.6             67.3835                       100
             37.7             67.5627                       100
             37.8             67.7419                       100
             37.9             67.9211                       100
               38             68.1004                       100
             38.1             68.2796                       100
             38.2             68.4588                       100
             38.3              68.638                       100
             38.4             68.8172                       100
             38.5             68.9964                       100
             38.6             69.1756                       100
             38.7             69.3548                       100
             38.8             69.5341                       100
             38.9             69.7133                       100
               39             69.8925                       100
             39.1             70.0717                       100
             39.2             70.2509                       100
             39.3             70.4301                       100
             39.4             70.6093                       100
             39.5             70.7885                       100
             39.6             70.9677                       100
             39.7              71.147                       100
             39.8             71.3262                       100
             39.9             71.5054                       100
               40             71.6846                       100
             40.1             71.8638                       100
             40.2              72.043                       100
             40.3             72.2222                       100
             40.4             72.4014                       100
             40.5             72.5806                       100
             40.6             72.7599                       100
             40.7             72.9391                       100
             40.8             73.1183                       100
             40.9             73.2975                       100
               41             73.4767                       100
             41.1             73.6559                       100
             41.2             73.8351                       100
             41.3             74.0143                       100
             41.4             74.1935                       100
             41.5             74.3728                       100
             41.6              74.552                       100
             41.7             74.7312                       100
             41.8             74.9104                       100
             41.9             75.0896                       100
               42             75.2688                       100
             42.1              75.448                       100
             42.2             75.6272                       100
             42.3             75.8065                       100
             42.4             75.9857                       100
             42.5             76.1649                       100
             42.6             76.3441                       100
             42.7             76.5233                       100
             42.8             76.7025                       100
             42.9             76.8817                       100
               43             77.0609                       100
             43.1             77.2401                       100
             43.2             77.4194                       100
             43.3             77.5986                       100
             43.4             77.7778                       100
             43.5              77.957                       100
             43.6             78.1362                       100
             43.7             78.3154                       100
             43.8             78.4946                       100
             43.9             78.6738                       100
               44              78.853                       100
             44.1             79.0323                       100
             44.2             79.2115                       100
             44.3             79.3907                       100
             44.4             79.5699                       100
             44.5             79.7491                       100
             44.6             79.9283                       100
             44.7             80.1075                       100
             44.8             80.2867                       100
             44.9             80.4659                       100
               45             80.6452                       100
             45.1             80.8244                       100
             45.2             81.0036                       100
             45.3             81.1828                       100
             45.4              81.362                       100
             45.5             81.5412                       100
             45.6             81.7204                       100
             45.7             81.8996                       100
             45.8             82.0789                       100
             45.9             82.2581                       100
               46             82.4373                       100
             46.1             82.6165                       100
             46.2             82.7957                       100
             46.3             82.9749                       100
             46.4             83.1541                       100
             46.5             83.3333                       100
             46.6             83.5125                       100
             46.7             83.6918                       100
             46.8              83.871                       100
             46.9             84.0502                       100
               47             84.2294                       100
             47.1             84.4086                       100
             47.2             84.5878                       100
             47.3              84.767                       100
             47.4             84.9462                       100
             47.5             85.1254                       100
             47.6             85.3047                       100
             47.7             85.4839                       100
             47.8             85.6631                       100
             47.9             85.8423                       100
               48             86.0215                       100
             48.1             86.2007                       100
             48.2             86.3799                       100
             48.3             86.5591                       100
             48.4             86.7384                       100
             48.5             86.9176                       100
             48.6             87.0968                       100
             48.7              87.276                       100
             48.8             87.4552                       100
             48.9             87.6344                       100
               49             87.8136                       100
             49.1             87.9928                       100
             49.2              88.172                       100
             49.3             88.3513                       100
             49.4             88.5305                       100
             49.5             88.7097                       100
             49.6             88.8889                       100
             49.7             89.0681                       100
             49.8             89.2473                       100
             49.9             89.4265                       100
               50             89.6057                       100
             50.1             89.7849                       100
             50.2             89.9642                       100
             50.3             90.1434                       100
             50.4             90.3226                       100
             50.5             90.5018                       100
             50.6              90.681                       100
             50.7             90.8602                       100
             50.8             91.0394                       100
             50.9             91.2186                       100
               51             91.3978                       100
             51.1             91.5771                       100
             51.2             91.7563                       100
             51.3             91.9355                       100
             51.4             92.1147                       100
             51.5             92.2939                       100
             51.6             92.4731                       100
             51.7             92.6523                       100
             51.8             92.8315                       100
             51.9             93.0108                       100
               52               93.19                       100
             52.1             93.3692                       100
             52.2             93.5484                       100
             52.3             93.7276                       100
             52.4             93.9068                       100
             52.5              94.086                       100
             52.6             94.2652                       100
             52.7             94.4444                       100
             52.8             94.6237                       100
             52.9             94.8029                       100
               53             94.9821                       100
