0,00;0,16;-0,32;0,15
0,02;0,28;-0,30;0,27
0,04;0,40;-0,28;0,39
0,05;0,52;-0,27;0,51
0,07;0,64;-0,25;0,62
0,09;0,76;-0,23;0,74
0,11;0,88;-0,21;0,86
0,12;1,00;-0,20;0,98
0,14;1,12;-0,18;1,09
0,16;1,20;-0,16;1,17
0,18;1,20;-0,14;1,17
0,19;1,20;-0,13;1,17
0,21;1,20;-0,11;1,17
0,23;1,20;-0,09;1,17
0,25;1,20;-0,07;1,17
0,26;1,20;-0,06;1,17
0,28;1,20;-0,04;1,17
0,30;1,20;-0,02;1,17
0,32;1,20;0,00;1,17
0,33;1,20;0,01;1,17
0,35;1,20;0,03;1,17
0,37;1,20;0,05;1,17
0,39;1,20;0,07;1,17
0,40;1,20;0,08;1,17
0,42;1,20;0,10;1,17
0,44;1,20;0,12;1,17
0,46;1,20;0,14;1,17
0,48;1,20;0,16;1,17
0,49;1,19;0,17;1,17
0,51;1,19;0,19;1,17
0,53;1,19;0,21;1,17
0,55;1,19;0,23;1,17
0,56;1,19;0,24;1,17
0,58;1,19;0,26;1,17
0,60;1,19;0,28;1,17
0,62;1,19;0,30;1,17
0,63;1,19;0,31;1,17
0,65;1,19;0,33;1,17
0,67;1,19;0,35;1,17
0,69;1,19;0,37;1,17
0,70;1,19;0,38;1,17
0,72;1,19;0,40;1,17
0,74;1,19;0,42;1,17
0,76;1,19;0,44;1,17
0,77;1,19;0,45;1,17
0,79;1,19;0,47;1,17
0,81;1,19;0,49;1,17
0,83;1,19;0,51;1,17
0,85;1,19;0,53;1,17
0,86;1,19;0,54;1,17
0,88;1,19;0,56;1,17
0,90;1,20;0,58;1,17
0,92;1,20;0,60;1,17
0,93;1,20;0,61;1,17
0,95;1,20;0,63;1,17
0,97;1,20;0,65;1,17
0,99;1,20;0,67;1,17
1,00;1,20;0,68;1,17
1,02;1,20;0,70;1,17
1,04;1,20;0,72;1,17
1,06;1,20;0,74;1,17
1,07;1,20;0,75;1,17
1,09;1,20;0,77;1,17
1,11;1,20;0,79;1,17
1,13;1,20;0,81;1,17
1,14;1,20;0,82;1,17
1,16;1,20;0,84;1,17
1,18;1,20;0,86;1,17
1,20;1,20;0,88;1,17
1,21;1,20;0,89;1,17
1,23;1,20;0,91;1,17
1,25;1,20;0,93;1,17
1,27;1,20;0,95;1,17
1,29;1,20;0,97;1,17
1,30;1,20;0,98;1,17
1,32;1,20;1,00;1,17
1,34;1,20;1,02;1,17
1,36;1,20;1,04;1,17
1,37;1,20;1,05;1,17
1,39;1,20;1,07;1,18
1,41;1,20;1,09;1,18
1,43;1,21;1,11;1,18
1,44;1,21;1,12;1,18
1,46;1,21;1,14;1,18
1,48;1,21;1,16;1,18
1,50;1,21;1,18;1,18
1,51;1,21;1,19;1,18
1,53;1,21;1,21;1,18
1,55;1,21;1,23;1,18
1,57;1,21;1,25;1,18
1,58;1,21;1,26;1,18
1,60;1,21;1,28;1,18
1,62;1,21;1,30;1,18
1,64;1,21;1,32;1,18
1,65;1,21;1,33;1,18
1,67;1,21;1,35;1,18
1,69;1,21;1,37;1,18
1,71;1,21;1,39;1,19
1,73;1,22;1,41;1,19
1,74;1,22;1,42;1,19
1,76;1,22;1,44;1,19
1,78;1,22;1,46;1,19
1,80;1,22;1,48;1,19
1,81;1,22;1,49;1,19
1,83;1,22;1,51;1,19
1,85;1,22;1,53;1,19
1,87;1,22;1,55;1,19
1,88;1,22;1,56;1,19
1,90;1,22;1,58;1,19
1,92;1,22;1,60;1,19
1,94;1,22;1,62;1,20
1,95;1,23;1,63;1,20
1,97;1,23;1,65;1,20
1,99;1,23;1,67;1,20
2,01;1,23;1,69;1,20
2,02;1,23;1,70;1,20
2,04;1,23;1,72;1,20
2,06;1,23;1,74;1,20
2,08;1,23;1,76;1,20
2,09;1,23;1,77;1,20
2,11;1,23;1,79;1,20
2,13;1,24;1,81;1,21
2,15;1,24;1,83;1,21
2,17;1,24;1,85;1,21
2,18;1,24;1,86;1,21
2,20;1,24;1,88;1,21
2,22;1,24;1,90;1,21
2,24;1,24;1,92;1,21
2,25;1,24;1,93;1,21
2,27;1,24;1,95;1,21
2,29;1,25;1,97;1,22
2,31;1,25;1,99;1,22
2,32;1,25;2,00;1,22
2,34;1,25;2,02;1,22
2,36;1,25;2,04;1,22
2,38;1,25;2,06;1,22
2,39;1,25;2,07;1,22
2,41;1,25;2,09;1,22
2,43;1,25;2,11;1,22
2,45;1,26;2,13;1,23
2,46;1,26;2,14;1,23
2,48;1,26;2,16;1,23
2,50;1,26;2,18;1,23
2,52;1,26;2,20;1,23
2,54;1,26;2,22;1,23
2,55;1,26;2,23;1,23
2,57;1,27;2,25;1,24
2,59;1,27;2,27;1,24
2,61;1,27;2,29;1,24
2,62;1,27;2,30;1,24
2,64;1,27;2,32;1,24
2,66;1,27;2,34;1,24
2,68;1,27;2,36;1,24
2,69;1,28;2,37;1,25
2,71;1,28;2,39;1,25
2,73;1,28;2,41;1,25
2,75;1,28;2,43;1,25
2,76;1,28;2,44;1,25
2,78;1,28;2,46;1,25
2,80;1,29;2,48;1,25
2,82;1,29;2,50;1,26
2,83;1,29;2,51;1,26
2,85;1,29;2,53;1,26
2,87;1,29;2,55;1,26
2,89;1,29;2,57;1,26
2,90;1,29;2,58;1,26
2,92;1,30;2,60;1,27
2,94;1,30;2,62;1,27
2,96;1,30;2,64;1,27
2,98;1,30;2,66;1,27
2,99;1,30;2,67;1,27
3,01;1,31;2,69;1,27
3,03;1,31;2,71;1,28
3,05;1,31;2,73;1,28
3,06;1,31;2,74;1,28
3,08;1,31;2,76;1,28
3,10;1,31;2,78;1,28
3,12;1,32;2,80;1,28
3,13;1,32;2,81;1,29
3,15;1,32;2,83;1,29
3,17;1,32;2,85;1,29
3,19;1,32;2,87;1,29
3,20;1,33;2,88;1,29
3,22;1,33;2,90;1,30
3,24;1,33;2,92;1,30
3,26;1,33;2,94;1,30
3,27;1,33;2,95;1,30
3,29;1,34;2,97;1,30
3,31;1,34;2,99;1,31
3,33;1,34;3,01;1,31
3,34;1,34;3,02;1,31
3,36;1,34;3,04;1,31
3,38;1,35;3,06;1,31
3,40;1,35;3,08;1,32
3,42;1,35;3,10;1,32
3,43;1,35;3,11;1,32
3,45;1,35;3,13;1,32
3,47;1,36;3,15;1,32
3,49;1,36;3,17;1,33
3,50;1,36;3,18;1,33
3,52;1,36;3,20;1,33
3,54;1,36;3,22;1,33
3,56;1,37;3,24;1,33
3,57;1,37;3,25;1,34
3,59;1,37;3,27;1,34
3,61;1,37;3,29;1,34
3,63;1,38;3,31;1,34
3,64;1,38;3,32;1,35
3,66;1,38;3,34;1,35
3,68;1,38;3,36;1,35
3,70;1,39;3,38;1,35
3,71;1,39;3,39;1,35
3,73;1,39;3,41;1,36
3,75;1,39;3,43;1,36
3,77;1,39;3,45;1,36
3,79;1,40;3,47;1,36
3,80;1,40;3,48;1,37
3,82;1,40;3,50;1,37
3,84;1,40;3,52;1,37
3,86;1,41;3,54;1,37
3,87;1,41;3,55;1,38
3,89;1,41;3,57;1,38
3,91;1,41;3,59;1,38
3,93;1,42;3,61;1,38
3,94;1,42;3,62;1,39
3,96;1,42;3,64;1,39
3,98;1,42;3,66;1,39
4,00;1,43;3,68;1,39
4,01;1,43;3,69;1,40
4,03;1,43;3,71;1,40
4,05;1,44;3,73;1,40
4,07;1,44;3,75;1,40
4,08;1,44;3,76;1,41
4,10;1,44;3,78;1,41
4,12;1,45;3,80;1,41
4,14;1,45;3,82;1,41
4,15;1,45;3,83;1,42
4,17;1,45;3,85;1,42
4,19;1,46;3,87;1,42
4,21;1,46;3,89;1,42
4,23;1,46;3,91;1,43
4,24;1,47;3,92;1,43
4,26;1,47;3,94;1,43
4,28;1,47;3,96;1,44
4,30;1,47;3,98;1,44
4,31;1,48;3,99;1,44
4,33;1,48;4,01;1,44
4,35;1,48;4,03;1,45
4,37;1,48;4,05;1,45
4,38;1,49;4,06;1,45
4,40;1,49;4,08;1,45
4,42;1,49;4,10;1,46
4,44;1,50;4,12;1,46
4,45;1,50;4,13;1,46
4,47;1,50;4,15;1,47
4,49;1,51;4,17;1,47
4,51;1,51;4,19;1,47
4,52;1,51;4,20;1,48
4,54;1,51;4,22;1,48
4,56;1,52;4,24;1,48
4,58;1,52;4,26;1,48
4,59;1,52;4,27;1,49
4,61;1,53;4,29;1,49
4,63;1,53;4,31;1,49
4,65;1,53;4,33;1,50
4,67;1,54;4,35;1,50
4,68;1,54;4,36;1,50
4,70;1,54;4,38;1,51
4,72;1,55;4,40;1,51
4,74;1,55;4,42;1,51
4,75;1,55;4,43;1,52
4,77;1,56;4,45;1,52
4,79;1,56;4,47;1,52
4,81;1,56;4,49;1,53
4,82;1,57;4,50;1,53
4,84;1,57;4,52;1,53
4,86;1,57;4,54;1,54
4,88;1,58;4,56;1,54
4,89;1,58;4,57;1,54
4,91;1,59;4,59;1,55
4,93;1,59;4,61;1,55
4,95;1,59;4,63;1,56
4,96;1,60;4,64;1,56
4,98;1,60;4,66;1,56
5,00;1,60;4,68;1,57
5,02;1,61;4,70;1,57
5,04;1,61;4,72;1,57
5,05;1,62;4,73;1,58
5,07;1,62;4,75;1,58
5,09;1,62;4,77;1,59
5,11;1,63;4,79;1,59
5,12;1,63;4,80;1,59
5,14;1,64;4,82;1,60
5,16;1,64;4,84;1,60
5,18;1,65;4,86;1,61
5,19;1,65;4,87;1,61
5,21;1,65;4,89;1,61
5,23;1,66;4,91;1,62
5,25;1,66;4,93;1,62
5,26;1,67;4,94;1,63
5,28;1,67;4,96;1,63
5,30;1,68;4,98;1,64
5,32;1,68;5,00;1,64
5,33;1,69;5,01;1,65
5,35;1,69;5,03;1,65
5,37;1,70;5,05;1,66
5,39;1,70;5,07;1,66
5,40;1,71;5,08;1,67
5,42;1,71;5,10;1,67
5,44;1,72;5,12;1,68
5,46;1,72;5,14;1,68
5,48;1,73;5,16;1,69
5,49;1,74;5,17;1,69
5,51;1,74;5,19;1,70
5,53;1,75;5,21;1,71
5,55;1,75;5,23;1,71
5,56;1,76;5,24;1,72
5,58;1,77;5,26;1,72
5,60;1,77;5,28;1,73
